Original_Index,Supplier,Lock_Reason,Extracted,Status,Corrected_Requirement
182,O.P. ESPERIDIO S.c.a.r.l.,The contract with Certiquality has been formally terminated at the company’s request.,,POTENTIAL_MISS,
183,NATURPUGLIA s.r.l.,The suspension was decided due to the failure to pay invoices relating to activities already carried out by Certiquality S.r.l.,,MISSING,
184,"Winters, the Chocolate Company B.V.","Two Major Non-conformities have been raised during the IFS Food v8 re-certification audit from 16/06/2025 to 17/06/2025 at Winters, the Chocolate Company B.V. - COID 57290:
 
 Major Non-conformity (requirement 4.5.3): 
 Packaging of end products is performed either in downstairs or upstairs packaging department. 
 For upstairs packaging department no documented label checks are currently implemented: 
 1) seen as part of factory tour no documented label checks available for products currently in","4.5.3, 5.5.1",MULTIPLE,
185,Valero Forn Tradicional S.L.,"A Major non-conformity was raised during the audit on June 12-13, 2025.
 Description of the Major NC:
 Clause 4.8.2.:
 “A number of issues were detected in the process flow from goods in to dispatch which posed contamination risks during the processing of the products. Issues included Two dead, and one live moth were found on or close to processing equipment.
 Many oven trays had lost part of their Teflon coating.
 The belt on line 6 had threads coming away. The blue belt on the chapatera line w",4.8.2,OK,
187,ASOFRUBE S.L.,"A KO was raised during the audit on June 9-10, 2025.
 Description of the KO:
 Clause 3.2.2:
 “During the staff lunch break, while visiting the auxiliary materials warehouse adjacent to the cherry handling area, it was observed that the loading/unloading door of the warehouse was open. Upon approaching the area, the following breaches of personal hygiene requirements were detected:
 1. -Staff members were outside wearing their work uniforms (light purple trousers and shirts).
 2. -Some staff were",3.2.2,OK,
188,VALENCIANA DEL FRIO S.A.,"During the renewal audit that took place on 11-12.06.2025, it was raised a KO under req.4.18.1: 
 The system used to record the traceability of the packaging material is not adequate as it has been found some records where the lot of the packaging was wrong (corresponding to last campaign) and was not corresponding to the packaging received during this campaign. E.g. production record of product lot Q20.4.1.506 dated 12-05-2025. Also, the traceability for the packaging provided by the client is ",4.18.1,OK,
189,BIOLIVA MED COMPANY SARL,2024 invoice has not been paid,,MISSING,
190,IL BORGO SRL,"During IOC on 20-MAY-2025 detected a Major NC on req 4.10.2 and, after discussion with IP IFS, decided to lock certificate. Here text of Major NC:
 Although the product has a low microbiological risk, on the day of the IOC, the state of implementation of the cleaning and disinfection activities was not adequate; the following issues were identified:
 a) Dough department: a non-operational production line is
 present in the department, the equipment is covered with a plastic sheet, but it’s not a",4.10.2,OK,
192,Polus Sütő Kft.,"During the IOC audit completed on site on 11/06/2025 the following Major NCs and KO were identified:
 
  4.9.1.1 MAJOR During the IOC the following non-compliance were observed regarding infrastructure. The risk of product contamination could not be excluded, therefore, the food safety could not be assured without doubts:
 - There were mouldy ceilings and walls observed throughout the whole factory, especially: (1) at raw material warehouse around the cold storage and frozen storage rooms; (2) i","3.2.2, 4.9.1.1, 4.17.2",MULTIPLE,
193,AGRO BLEND GROUP SHPK,outstanding payments,,MISSING,
194,"ALBASOL FRUIT, S.L. B09876855","4.1.3 KO In the case of client H, it indicates that the watermelon's Brix must be between 12 and 13 degrees. 
 DV: ""No documented evidence of the measured BRIX levels is recorded in form G 0503-1 'Quality Control of Packaged Product'. Examples from the previous production campaign, since the previous certification audit, were requested, but it was not possible to provide evidence demonstrating compliance.""
 4.5.1
 MAJOR During the audit, documentation is requested for the following packaging: 50","4.3.4, 4.9.5.4, 4.1.3, 4.15.7, 4.11.1, 4.9.9.1, 4.9.6.1, 4.4.3, 4.18.1, 4.1.2, 5.3.4, 2.3.6.1, 4.4.1, 4.5.1, 4.21.2, 4.11.4, 5.11.3",MULTIPLE,
199,"BODEGAS LANGA HNOS., SL B50069616","During the announced recertification audit, carried out to the operator BODEGAS LANGA HERMANOS SL, COID 89016 on 11 and 12 June 2025, a major non-conformity with code 5.5.2 has been opened:
 For still wine, they carry out destructive quantity control. Production orders only indicate OK for the fill level, with no records of the checks carried out, such as, for example: production order ER-25-00137 of 09/05/2025 for bottling 2022 red wine under the PI L-250509 brand). It cannot be verified that q",5.5.2,OK,
201,BIOLIVA MED COMPANY SARL,2024 invoice has not been paid,,MISSING,
202,Fude + Serrahn Milchprodukte GmbH & Co. KG,"During the re-certification audit completed on site on 16-17-18-19/06/2025 the following Major NCs and KO were identified:
 
 DEV:
 The concept for pest prevention and control is not effectively established.
 
 Evidence:
 In the outdoor storage area, where primary packaging and dry raw materials are also stored, traces of rodent droppings were found. In the inner area in front of a defective roller door, a number of stacked pallets of milk powder were stored. When the pallets were relocated and ",,POTENTIAL_MISS,
203,AVENA Cerealien GmbH,"Major fire at the Mühlenstraße 1 c site, 19357 Karstädt. Production is currently not possible. Investigations into the condition of the buildings and facilities and the extent to which parts of production can be resumed are still ongoing.",,MISSING,
204,Burg Azijn BV,"During the on-site audit on June 23rd and 24th, 2025, a major non-conformance (NC) was raised to requirement 4.2.1.5: relate dto herb vinegar, apple vinegar (clear and cloudy) and natural vinegar, the Nutri-Score logo is placed on the label.
 This is not in line with the requirements for Nutri-Score: food products that are not covered by the mandatory nutritional declaration, as listed in Appendix V of EU 1169/2011, are not covered by the Nutri-Score.",4.2.1.5,OK,
205,LES GRANDS CHAIS DE FRANCE - SITE DE PETERSBACH SAS,"MAJOR non-conformity on requirement 4.3.2:
 The site manufactures a private-label Limoncello liqueur (25% vol, 50 cl) for a client based in France. During the review of the product's labeling, several regulatory non-compliances were identified, which were not communicated to the client. This constitutes a breach in the label validation and review process.
 
 The following issues were noted:
 
 1. Misleading claim: The statement “traditional Italian recipe” implies a traditional composition, wher",4.3.2,OK,
206,Pflaum Feinkost GmbH,"1.2.1 KO
 In accordance with the standard, management must ensure that employees are aware of their responsibilities with regard to food safety and product quality and that mechanisms are in place to monitor the effectiveness of their actions. These mechanisms are identified and documented. This is not implemented to a sufficient extent; for example, an internal audit conducted by an external auditor on 20-21 August 2024 identified a total of 65 deviations (31x of which were D deviations and 8x ","4.14.2, 4.18.1, 1.2.1, 2.3.9.4",MULTIPLE,
207,Vandemoortele Bakery Products France- Le Fossat SAS,"Major NC on 4.13.2: During the audit, it was noted that the measures put in place to control pests were not sufficiently effective: 1/ Successive trend analyses show that rodents are being caught inside the premises. 33 since the beginning of the year, for example at the entrance to the CIP room, at the kneading area on line D (12/05), in maintenance, in cardboard storage, in packaging storage 1 (11/06). Even though sealing work is regularly carried out, particularly following the infrastructure",4.13.2,OK,
208,Fromagerie Perreault-site d'Azé,"REQUIREMENT 2.3.9.4
 During the audit, the X-ray PRPo was not under control on the cheese-cutting packaging line:
 1. At the auditor's request, the 3 tests (stainless steel, glass and rubber) were carried out and none of the lures were detected by the X-ray.
 2. The program used to parameterize the RX was not that of the product in production, but that of another product packaged the day before. As a result, the RX was not functional throughout the day's production.
 3. The RX monitoring documen",2.3.9.4,OK,
209,Edwin Grasmehr GmbH,"During the unannounced IFS Integrity On-site Check on 27.06.2025, 1 non-conformity (1 Major) was identified in relation to the standard requirements of the IFS Food Standard.
 Affected requirement: 4.8.2 Major: In the ground floor packaging, above the Webomatic machine, there is an evaporator directly above the shelf on which the finished sausages are placed before they are put into the packaging. Dripping water was clearly visible on this evaporator during the audit. The evaporator was unclean.",4.8.2,OK,
210,Mineralbrunnen Teinach GmbH,"KO 4.12.1:
 On the first day of the audit, 0.7-liter medium mineral water bottles were produced on line 4.
 After the empty bottles are cleaned, they are inspected as the only measure for checking the bbottom (contamination). 
 
 During the audit, several glass shards were found in the inspector in various areas. There is no procedure for dealing
 with broken glass in sensitive areas. It was not possible to determine when the glass broke, and there was also no approval after glass cleaning. The ",4.12.1,OK,
211,"MANUFACTURAS CEYLAN, S.L.","Mayor NC 4.12.2:
 Company has established several preventive measures to avoid the possible risk of physical contamination coming from foreign bodies in final products such as the installation of sieves, filters, magnets and metal detectors. 
 But during the plant visit, a plastic hose was observed at the exit point of the mixing equipment P3 zone A, just above the bucket containing already-sieved final product ready to be packed. The hose had missed pieces of plastic, which could potentially fa",4.12.2,OK,
212,LOYEZ WOESSEN .,"KO on 4.18.1: 
 During the audit on June 25, 2025, it was noted that recycled butter (production day of June 19, 2025, batch 7027698) was reincorporated into Silo 2 but was recorded as being reincorporated into Silo 1, therefore into different products. This represents a recording error and loss of traceability. The silo registration document, which incorporates the recycling, is the only written record available to track the traceability of these recycling operations. 
 There is also no traceab",4.18.1,OK,
213,LES DUCS DE GASCOGNE SA .,"Major NC on 4.3.2 : During the traceability test, it has been found that the recipe for the specialty made from foie gras with Espelette pepper batch 1210110GDDM01.10.2028 chosen for the test (private label product) did not contain alcohol (port, armagnac, wines), in accordance with the recipe validated with the client on 23.07.2024. However the label affixed which has been validated with the client on 02.09.2024 mentioned the presence of these ingredients. The label of the finished product is t",4.3.2,OK,
215,Kőröstej Kőröstetétleni üzeme Kft.,"During the audit completed on site on 2,3,4 July 2025 the following KO and NC mayor were identified:
 
 KO 3.3.2: Several workers have been worn clothes dedicated to clean zone production area in the yard.
 - In the cardboard packing area of the sliced and grated cheese products the employees wore one-usable green coats during the audit which is dedicated to the high hygiene control slicing and grating area. The two areas are separated by each other so in the cardboard packing area it is not req","4.8.2, 4.14.3, 3.3.2, 4.14.5, 5.11.3",MULTIPLE,
216,AGRÍCOLA D'ALBATÀRREC I SECCIÓ DE CRÈDIT S.C.C.L.,"During the IFS Food v.8 audit performed from 25 to 27 of June 2025, was detected two Major Non Conformities. 
 Requirement 2.3.9.4. Description: Although there is a register for post-harvest treatments online (Reg. 50 ‘Register of post-harvest phytosanitary treatments’ Edc. 2 date: 22/06/2020), the treatments carried out during 2025 have not been recorded, making it impossible to verify the product used, the doses, the quantities applied or the batches of the products used. 
 Requirement 4.12.3.","4.12.3, 2.3.9.4",MULTIPLE,
217,SFB Fleisch- und Kühlcentrale GmbH & Co. KG,"Major in 4.8.2:
 An unsatisfactory cleaning status was found in the establishment. The machines/ equipment in contact with open foodstuffs were dirty. Moving machine parts/ defective plastic parts above open product showed unacceptable damage/ soiling and possibilities of contamination with foreign bodies for open meat. The hygienic environmental conditions of the invert/ invert process were unacceptable. The records of the self-inspection concept did not reflect the actual conditions in Product",4.8.2,OK,
218,ZIV Ltd.,"As of today (03.07.2025) Certima BV withdraw the certificate number IFS- 01308 of client ZIV Ltd., 8, Kamchia Str., 9600 Balchik, Bulgaria, COID:27260
 
 Reason: Company ZIV ltd Balchik had an IFS Integrity onsite check on 27th June 2025. 
 During the onsite check 2 Major nonconformities were observed and raised by IFS IP auditor.
 
 Major on 4.12.2:
 In the scope of foreign body management, the following deviations were found:
 - Cracked paint on the ceiling in the kitchen area at line no. 3 - ","4.13.2, 4.12.2",MULTIPLE,
219,FORTIS d.o.o.,Fire in chamber with goods. Detailed information will follow. (07.07.2025),,MISSING,
220,Bodegas Esteban Martin S.L.,"KO has been raised in clause 2.3.9.1 during re-certification audit on 23.06.25:
 According to the risk analysis carried out, the company has identified wine microfiltration and rinsing (bottle washing) as a CCP in the case of bottling wine in glass bottles. 
 A visit was made to the production area to see the bag-in-box wine bottling process during the first day of the audit; only the microfiltration CCP (CCP1) applies. 
 Wine has already started to be bottled and a record of the controls perfor",,POTENTIAL_MISS,
221,"JUAN LLORENTE, S.L.","During the recertification audit, the following major nonconformity was detected in requirement 5.10.3.
 
 During the visit to site 3, in warehouse 1 there were 2 boxes strapped with film, one from lot 4937 Map 2223 returned from Aro Ibe Serr and the other from lot 2055 Map 4023, with the presence of “piojillo”, which has not been registered and is not being managed.
 At site 2, in the large drying shed there was a pallet with 5 boxes, 10 pieces of boneless ham from lots 4527, 4526. Vacuum-packe",5.10.3,OK,
222,Brient SAS,"KO on 3.2.2
 During the field audit of the sensitive deli slicing area and the sensitive salad area, a number of discrepancies were noted in the understanding and application of defined hygiene rules:
 - Wearing masks under the nose instead of over the nose, observed on 4 employees and one maintenance contractor during an intervention.
 - Plastic disposable sleeves not worn by 4 employees
 - Top of uniform not completely closed for 2 employees
 - Failure to remove disposable PPE gloves, sleeves ","1.2.4, 3.2.2",MULTIPLE,
223,Brient SAS,Head office audit with KO on 3.2.2 and Major NC on 1.2.4.,"1.2.4, 3.2.2",MULTIPLE,
224,Florette Hortícola Canarias S.L.U,"IFS Integrity Audit with 2 majors
 4.9.1.1 The premises in the reception area, cutting area, white room of salad bags are not designed, constructed and maintained to ensure food safety as the floor is cracked, rough, broken or missing the top layer in several places. This fact was detected in previous Certification Body audit.
 
 4.10.2 Some points with an inadequate state of cleanliness were observed:
 - Mold growth on the ceiling located over plastic coils partially used (not fully protected).","4.9.1.1, 4.10.2",MULTIPLE,
227,Dufina nv,"A major non conformity was raised on requirement 4.14.3 : t 4.14.3: During the assessment of the production areas, frost was observed at the bottom of the large freezer (""diepvries opslag"") in a palox containing raw meat intended for the production of smoked bacon. This meat will not be cooked during the rest of the process. The meat in the ""Dolav"" was not properly protected. As a result, the meat was in contact with the frost.
 Similarly, frost detached from an area of the freezer ceiling and f",4.14.3,OK,
228,DMDS SA,"During the production visit, it was noted that :
 • CCP 5 ‘Metal detector’ has not been the subject of records of passage tests since 13 June 2025.
 • CCP1 ‘pH of dried products’ has not been the subject of records of the final weight loss after drying since 26 June 2025.
 These two failures to comply with the records specified in the HACCP study make it impossible to effectively demonstrate the control associated with these 2 CCPs.",,MISSING,
229,"BREYBEAU NV, site Gavere - Breydel .","KO 1.2.1: During the audit it became clear that the integration of the employees of the site of Tradelio in Oudenaarde which moved partly to the site of Breydel, were not yet integrated in the company. Lack of communication and lack of presence of the senior management on the work-floor caused a serious breach in the Food safety culture within the company. It became clear that several employees were somewhat lost within the company and not aware of any risks within the company and the need to re","4.9.4.1, 1.2.1",MULTIPLE,
230,SuiCo EOOD,"Major on 4.19.2 
 The company manufactures some products with “Gluten free” claims. During the IOC “Gluten free” Macaroni was packed. The following bad practices were observed during the IOC: 
 - The “Gluten free” claimed Macaroni was loaded into a hopper of the packaging machine. Right above the hopper of the packaging machine a mixer was situated (the unloading pipe of the mixer was right above the hopper of the packing machine. The mixer (used for mixing gluten containing muesli) was not full","4.19.2, 4.12.1, 5.5.2, 4.3.2",MULTIPLE,
231,Prodotti Alimentari Fioravanti & C. S.r.l. Srl,"During the Integrity On-site Check of 09/07/2025, 4 non-conformities were identified against the following IFS-Food v8 requirements as follows:
 • 2.3.9.1* KO N° 2, NC Level: KO -D
 • 3.2.2* KO N° 3, NC Level: KO -D
 • 5.5.2, NC Level: NC Major
 • 5.11.3* KO N° 5, NC Level: KO -D","5.11.3, 3.2.2, 5.5.2",MULTIPLE,
232,La Noix Gaillarde SN EURL,"Major NC on 2.1.2.1 : An internal audit was subcontracted on 13/01/2025 to an external auditor. The 1st audit report presented to the auditor made no mention of the major NC and the KO assigned by the external auditor in the internal audit summary paragraph. 
 Following the insistence of the auditor for the current certification audit, the initial audit report sent by the external auditor was presented and did indeed include a major NC and a KO. The report had therefore been modified.",2.1.2.1,OK,
233,KALOGERAKI BROS SA,"During the IFS audit (01-03/07/2025) 4 MAJOR Non conformities were recorded .
 1) 3.4.1 . The lockers were not repaired and cleaned after the finding of last audit(2024) including the walls in that area. This re-occurring finding is downgraded from ""D"" to ""Major""
 2) 4.17.4. The equipment for mixing the ingredients of dairy dessert -edesma -(two receiving tanks for dry ingredients, connected with the batch stirring tanks) are located in a covered but external area (open to the outside environmen","4.14.3, 5.11.4, 5.5.1, 4.10.5, 3.4.1, 4.9.4.1, 1.3.1, 4.17.4",MULTIPLE,
234,Cárnicas Mirotz SL,"A KO was raised during the audit on June 30, 2025.
 Description of the KO:
 Clause 4.18.1:
 “During the visit to the facilities we found that in the final product chamber there were several boxes without identifying the type of product, lot or expiration date. An attempt was made to perform a mass balance, since the company claimed that the lot corresponded to the last order placed, but it was not possible to find the production order, so it was not even possible to trace anything or see quantit",4.18.1,OK,
236,LUCIEN GEORGELIN .,"MAJOR non-conformity on requirement 4.17.4:
 During the on-site visit, it was observed on the candy process, at the level of the candy paste rolling machine (machine for rolling the candy paste), significant wear of the paint on the metal plate in contact with the product at the end of the cylinders at the line inlet. Due to friction with the candy paste, the paint has been partly removed (polished) and the metal has been exposed. The candy paste observed on the machine was colored orange and th",4.17.4,OK,
237,INDUSTRIAS LACTEAS SAN VICENTE S.L.,"During the IOC audit completed on site on 20-June-2025 the following Major NCs and KO were identified:
 
  4.8.3 MAJOR The company operates a clean room since February 2025, where the cheese is cut in wedges (with / without pre-cutting in portions). Cutting, packing and labelling had not been segregated until that date. There is a risk assessment for this requirement, dated on 01 FEB 2024, where the company concluded that the clean room was necessary for the activity to guarantee absence of micr","4.13.2, 4.8.3",MULTIPLE,
239,NTRA SRA DEL ROSARIO S.C.L (BODEGAS CAMPOS REALES) coop (SITE PROVENCIO),"During the recertification audit, a major non-conformity has been detected in requirement 5.4.1:
 
 It is observed that the scale used for products packaged in BiB does not comply with the tolerance established in RD1801/2008. The step of the class III scale used is 10g, when it should be a maximum of 3 grams.",5.4.1,OK,
241,Malufra Sarl,Outstanding payments,,MISSING,
242,SPANIC EUROGROUP S.L.,"During the recertification audit, a major nonconformity is detected in requirement 5.3.2: When making samosas, the weight of the strips of dough used to make the samosa is checked (but not recorded). For loose samosas, weight control and recording are only carried out if they are packaged in bulk in a box with a plastic bag.
 There is insufficient recorded documentation to verify that the product contains 70% filling in other formats. For example, in the traceability product, there is no record ",5.3.2,OK,
244,I.CA. Srl,"During the audit completed on site on 1-2 July 2025 – 01 the following KO and NC mayor were identified:
 
 NC major 2.3.6.1 Hazard analysis Ed.2 Rev. 6 Annex 3 of 12.06.2025 the production process for lasagne alla parmigiana does not include the cooking and manual filling of the braising pan for the production of tomato sauce, Furthermore, the process for pre-cooked fried products does not include the manual loading of flour for battering, and the risk of allergens is not clearly formalised for ","4.3.4, 4.19.3, 4.3.6, 4.9.8.2, 5.11.4, 4.14.3, 4.9.8.3, 2.3.6.1, 4.9.3.3",MULTIPLE,
246,"MIDSONA IBERIA, S.L.U.","Major Non Conformity Req. 4.9.3.1
 In relation to the condition of the floors, the following is evident:
 - The floor coverings of the finished product and semi-finished product blast chillers in Hall 2 do not meet the hygienic requirements for production. They are completely deteriorated (including the presence of grit in the finished product chiller due to excessive deterioration), which prevents proper cleaning and disinfection. Surfaces are not impermeable or resistant to wear and tear.
 - P",4.9.3.1,OK,
247,Energique bv,"As of today (02.07.2025) Certima BV withdraw the certificate number IFS-01118 of client
 
 Energique B.V.
 Wetterkant 10, 8401GC Gorredijk, Netherlands
 COID: 62626
 
 Reason: During the audit conducted in period 23-25.06.2025, the auditor raised multiple Major and KO non-conformities.
 
 1.2.1 KO: Based on the site tour observations and the samples of documents and records reviewed during the audit it can be concluded the company’s management does not guarantee that employees know and implement","1.2.1, 1.2.2, 5.10.1, 4.18.1, 4.12.1",MULTIPLE,
249,JOSE MORALES S.L.,"On 21.06.25 a fire destroyed the entire production plant. 
 There was no product left in stock; only part of the office area was saved. 
 The causes of the fire are still unknown. It started at night during the weekend (plant not operational).",,MISSING,
251,"BODEGAS CENTRO ESPAÑOLAS, S.A.","During the recertification audit, a major non-conformity has been detected in requirement 4.3.2:
 
 1. Contrary to Regulation (EU) 2021/2117, the list of ingredients in the QR code of the wines reviewed during the audit; ""R.C. verdejo blanco 2024"" ""All_ verdejo blanco 2024"", ""R.C. tinto tempranillo 2024"", does not include all the ingredients that are added, but, only grapes and sulphur dioxide (SO₂).
 Production records were checked, where it is recorded that stabilisers are added, e.g. for the ",4.3.2,OK,
252,ALGI SA,"Major 4.17.4: Presence of icing in freezer number 2 around the evaporator on the wall. Some products were kept under the evaporator and were not covered (cordon bleu and filled pasta), later it was seen that some ice particles were also present in the uncovered boxes. However, the cordon bleu and filled pasta will undergo another cooking step.
 
 KO 4.18.1: During the audit, it was found in several samples that traceability could not be guaranteed until delivery to the customer.","4.18.1, 4.17.4",MULTIPLE,
254,CALABRIA FOOD srl,Suspension due to interruption of production activities for maintenance work at the certified site,,MISSING,
257,SEGURA JAMONES DE SERON SL,"During the audit performed on 1st July 2025 to 3rd July 2025, it was detected a Major non-conformity under the requirement 4.3.2.
 
 Major non-conformity 4.3.2.
 Having checked the labelling of the final product selected for the traceability exercise, sliced ham Gran Reserva own brand Segura with batch 76828522 and best-before date 01-09-2025, it was found that the following ingredients are declared in the list of ingredients: pork ham, sea salt, salt, preservatives (E-252, E-250), antioxidant (",4.3.2,OK,
259,Terzo Cerchio s.r.l .,"A KO was raised during the audit on June 24-27, 2025. 
 Description of the KO:
 Clause 5.1.1:
 “The following findings emerged from the verification of the last three internal audits (March 2025, October and November 2024):
 - for the three audits there is no evidence of communication of the audit results (checklist, minutes, etc.) to the Quality Manager by the internal auditor); for those of March and October a paper copy was found by the internal auditor; it was not possible to obtain evidence","5.1.1, 4.13.4, 5.6.5, 4.10.6, 5.6.8",MULTIPLE,
260,TORRONS VICENS (CRTA TARREGA) SL,4.12.1 - KO - The use of wooden paddles for kneading (stage after cooking and before molding) of the hazelnut turrón d'Agramunt and almond turrón d'Agramunt is observed; these paddles are deteriorated in the central part due to direct and repetitive contact with the metal kneading bowl. Remains of splinters can be observed in the product that is being elaborated due to the use of the wooden paddles in bad condition.,4.12.1,OK,
261,Vergeer Holland B.V. B.V.,"Paragraph 5.11.3 KO; Corrective and preventive measures.
 Actions are followed up using a central action list. Based on a random sample of six actions, four deviations were identified:
 - The actions from the internal QESH audit of 24 December 2024 (e.g. Kleentec line 66, 80 tasks out of 102 outstanding, reason unclear) were not included in the action list and cannot be demonstrated to have been carried out.
 - Internal audit at the Bodegraven site on 31 March 2025; action 0677 temperature for l",5.11.3,OK,
262,MARISCOS MALLIÑO S.L,"During IOC a NC was raised, 
 2.3.9.1. KO According to the HACCP of the company dated: 7 MAY 2025 V 11, the levels of chlorine in the settling tank (first chlorination) have been defined as CCP. 
 The critical limit established is: 0.5 - 2.5 ppm to minimize the presence of Salmonella and E. coli.
 According to the HACCP plan, the chlorine levels are checked on a daily basis before production starts.
 
 During the IOC, chlorine monitoring records were requested for 25 JUN 2025 prior to the start ",,POTENTIAL_MISS,
263,CHMeat Sp. z o.o.,Documents are locked due to the lack of payment.,,MISSING,
264,"SPÓŁDZIELNIA PRODUCENTÓW DROBIU ""EKO-GRIL"" cooperative",Documents are held due to the lack of payment.,,MISSING,
266,GOLDEN TROPICS GROUP S.L.,"Dear all,
 
 We inform you that during the IFS Food v.8 audit performed from 07 to 08 July 2025 was detected a KO and 2 Major non conformities.
 
 KO non conformity- Requirement 4.1.3: The entry for Hass avocados dated 25-11-24 was reviewed. Supplier: Bxxx Axxx, S.L. (Product not GlobalG.A.P certified). Origin: Morocco. Entry with delivery note 99251124. It was verified that several pallets were prepared for several orders, several packages and for several customers. This was verified, for examp","4.2.1.5, 4.1.3, 4.3.2",MULTIPLE,
270,Lipóti Tóth és Társai Zrt,"4.13.2 Major
 
 During the site inspection, the presence of both live and dead moths was observed at several independent locations, including:
 • on the flour sifter and on the wall in its immediate surroundings,
 • in the area in front of the proofer on line 4 – on the surfaces of proofing baskets, technological equipment, and in the accumulated, uncleared flour layer beneath the stairs,
 • inside the dough mixing bowl.
 Based on these observations, it can be concluded that the current pest con","5.11.3, 4.13.2",MULTIPLE,
272,EMBİ GIDA A.Ş,"KO 4.18.1:
 During the audit, traceability forms filled in the minced meat preparation area were seen. The beef batch number written on this form was 27.06.2025. However, it was seen that the batch number of the beef that the staff later brought inside was 05.07.2025. The batch changes were not recorded on the form. The traceability forms in the cheese preparation room stated that cheese with batch number 18.11.2025 was used, however, during the audit, it was seen that the staff used cheese with","4.18.1, 5.3.2",MULTIPLE,
274,GRAND HOPITAL .,"Item : 4.3.2 
 Several regulatory labeling defects have been observed:
 1. During the traceability test, on the pallets of apricots for the customer DIL prepared on 29/06/25, departure 30/06/2025, the variety LIDO was noted whereas several pallets were made with apricots of the variety DELICE COAT. However, according to the marketing standard for apricots (UNECE STANDARD FFV-02), for Class 1, variety labelling is compulsory (""Variety name for Extra Class and Class I. A brand name may not be used",4.3.2,OK,
277,Cherry World S.L.,"In the IFS Food announced recertification audit performed on 02.07.2025 - 03.07.2025, 1 Major Scoring non-conformity was identified on requirement 5.4.2:
 
 “Scale used to weight control is not calibrated and metrologically verified as regulations establish for equipment involved in commercial transactions.”",5.4.2,OK,
278,Bioturca Tarım Ürünleri San. ve Tic. A.Ş incorporated company,"The IFS Food certificate of the company has been withdrawn due to a change of site location, and there is no production activity in the certified site address anymore. AGFOCERT has voluntarily been informed by the site.",,MISSING,
279,ASLI MAGAZACILIK VE UNLU MAMULLER URETIM A.S.,"During the IOC unannounced audit conducted on 23.06.2025, 4 Major NCs has been raised under: 
 -2.3.8.1 validation of metal detector
 -4.3.2: labelling not compliant in terms of list of ingredients
 -4.12.2 Potential foreign material contamination from infrastructure
 -5.5.2 weight control registration not in compliance with Legislation.
 Therfore the CB has decided to suspend the current certificate.","5.5.2, 4.3.2, 2.3.8.1, 4.12.2",MULTIPLE,
280,Lenger Seafoods B.V.,The customer has terminated the certification agreement with DNV.,,MISSING,
281,DELPEYRAT SAS,The site is closed.,,MISSING,
282,Wiesbauer-Dunahús Kft.,"- 4.1.2 MAJOR: The company has a contract with the parent company (IFS certified COID:1277) for the production and packaging of the Happy Frankfurter product. The parent company provided Wiesbauer Dunahús with the product specification and also provided the packaging material required for packaging. On the first day of the audit, the Happy Frankfurter 210 g (Lot: 58890) product was packaged. During packaging, the CCP control, metal detection, was carried out, the product was manufactured accordi","4.3.2, 4.4.7, 4.1.2",MULTIPLE,
283,Salumificio del Castello S.r.l.,"During the recertification audit completed on site on 14-15/07/2025 the following Major NCs were identified:
  
 2.3.6.1 Major The ATM packaging phase was not assessed in the HACCP plan. This is a critical phase for product safety and quality.
 4.2.1.5 Major Regarding the claim of reduced salt content (48%), no studies have been conducted to demonstrate the conformity of the claim.","4.2.1.5, 2.3.6.1",MULTIPLE,
284,Fallini Formaggi SRL,"During current unannounced on site audit (14-15/07/2025), auditor releases a D at KO requirement 2.3.9.1:
 During site tour on packaging department, checking 10g bag line at 10:39 a.m. ( in which is going packaging of “VIP Premium Quality 10g” product - batch L5195 BBF 14/07/2026) and its CCP metal detector function record sheet of the day, the record sheet reports checks up to 1:37 p.m., with the relevant compliance and signature of the operator. However, these inspections were not actually per",,POTENTIAL_MISS,
285,Wiesbauer Gourmet Gastro GmbH,"2.3.9.1 KO
 CCP monitoring for the sous vide process in the production kitchen area (= small-volume production for bulk consumers/catering customers) is not under sufficient control; compliance with the defined CCP criteria cannot be conclusively demonstrated:
 According to internal specifications (=CCP3 definition; version25/status 27/06/2025), sous vide finished goods/products produced in the company must reach a product-specific defined minimum heating temperature as part of CCP monitoring (e",,POTENTIAL_MISS,
286,Agral SA,"Major NC 4.14.3
 Instances were seen where raw materials, packaging materials and semi-finished products (rework) are not always stored to minimise contamination risks or any other negative impact.
 In the cooled storage area for raw materials at the far end of the unloading area: 
 - Two pallets containing 25 kg cardboard cases of butter (raw material) were seen with on each pallet, one case of butter missing one side of the cardboard, showing a torn inner plastic liner with the butter exposed ",4.14.3,OK,
287,PAROT SAS,"During th audit, a KO was raised on requirement 2.3.9.1: 
 CCP C1 (inspection of washed empty glass bottles), which is used to control the risk of cleaning/disinfection product residues, is managed by an electronic eye (HEUFT inspector) that is routinely tested using a 1L or 0.25cl test bottle, depending on the format, which must be filled with a 10ml dose of water prepared by the internal laboratory in plastic tubes (according to document CSL 001 enr 05-02 dated 01/25/21 “inspection of washed b",,POTENTIAL_MISS,
288,Thurländer Salate und Feinkost GmbH .,"Requirement 4.10.2 (major): The washing of the plastic tubs used in production is not working properly. On the first day of the audit, July 21, 2025, and on July 22, 2025, it was observed several times that the plastic tubs were still contaminated with product residues such as vegetable scraps and salad ingredients (cheese, pasta) after cleaning. A follow-up cleaning instructed by the company (dirty plastic tubs should be run through the washing system again) did not lead to successful cleaning,",4.10.2,OK,
